Times,Filt,mag,magerr,lim_mag,Freqs,Fluxes,FluxErrs
37004.0,i,19.9,0.1,-99,393170436721311.5,0.03981312330195905,0.003841098318999218
1224.0,i,20.46,0.06,-99,393170436721311.5,0.023769839480382696,0.0013505430736838267
2568.0,z,20.12,0.05,-99,328215960148894.2,0.03251069463710575,0.0015321818343729625
16848.0,VT_B,20.4,0.2,-99,605000000000000.0,0.025120382554066577,0.0050809599746714
16848.0,VT_R,20.4,0.2,-99,381000000000000.0,0.025120382554066577,0.0050809599746714
22052.9,i,20.2,0.03,-99,393170436721311.5,0.03020134252873798,0.0008461298161048678
22052.9,z,20.1,0.07,-99,328215960148894.2,0.033115113577013015,0.002205338118328519
34100.7752,r,20.12,0.08,-99,481130569731985.2,0.03251069463710575,0.00248593721068062
49648.0,i,19.81,0.09,-99,393170436721311.5,0.04325399731147403,0.003738253691575018
51115.0,r,19.8,0.09,-99,481130569731985.2,0.04365422162095818,0.0037728433271088956
56808.0,i,19.78,0.05,-99,393170436721311.5,0.044465814195313834,0.002095609260926222
63108.0,r,20.2,0.1,-99,481130569731985.2,0.03020134252873798,0.0029137710482751004
63108.0,i,19.9,0.1,-99,393170436721311.5,0.03981312330195905,0.003841098318999218
63108.0,J,19.4,0.2,-99,240000000000000.0,0.06309954809188985,0.012762794419420359
67680.0,r,20.0,0.2,-99,481130569731985.2,0.03631,0.007344221620958265
72000.0,g,20.2,0.1,-99,628495719077568.1,0.03020134252873798,0.0029137710482751004
72000.0,r,20.1,0.1,-99,481130569731985.2,0.033115113577013015,0.0031948864229869134
72000.0,i,20.0,0.1,-99,393170436721311.5,0.03631,0.003503123301959051
72000.0,J,19.5,0.1,-99,240000000000000.0,0.05754747181826294,0.005552076273626788
111111.0,r,20.83,0.05,-99,481130569731985.2,0.016905431055818678,0.0007967284198353212
118102.0,R,21.06,0.05,-99,468671768303359.2,0.013678114941105749,0.0006446296972476302
142344.0,i,21.56,0.14,-99,393170436721311.5,0.0086, 0.0012
460800.0,J,24.4,0.2,-99,240000000000000.0,0.000631, 0.00013
354240,radio,-99,-99,-99,6e9,0.150,0.005
343872,radio,-99,-99,-99,10e9,0.092,0.007
2051.907,swift,-99,-99,-99,2.42e18,4.96894891215934e-04,1.09857607939125e-04
2159.920,swift,-99,-99,-99,2.42e18,2.59931800744418e-04,5.90920994532601e-05
2351.256,swift,-99,-99,-99,2.42e18,2.51936911850478e-04,5.65942375276858e-05
2487.048,swift,-99,-99,-99,2.42e18,1.68151813518584e-04,3.70685753272723e-05
2589.705,swift,-99,-99,-99,2.42e18,1.40542881203801e-04,3.11267757853287e-05
2680.752,swift,-99,-99,-99,2.42e18,1.36822683015452e-04,3.01621518494812e-05
2777.448,swift,-99,-99,-99,2.42e18,8.28890303327628e-05,1.86969750857335e-05
2881.132,swift,-99,-99,-99,2.42e18,8.83994445103336e-05,1.99983533248838e-05
2990.720,swift,-99,-99,-99,2.42e18,6.43892677261706e-05,1.43274554708949e-05
3101.779,swift,-99,-99,-99,2.42e18,7.70059643659726e-05,1.69757358959331e-05
3215.688,swift,-99,-99,-99,2.42e18,8.41250936520804e-05,1.91247384935622e-05
3362.898,swift,-99,-99,-99,2.42e18,6.5552419402613e-05,1.48878814334289e-05
3577.430,swift,-99,-99,-99,2.42e18,8.90766707422589e-05,1.52586832671414e-05
7689.536,swift,-99,-99,-99,2.42e18,5.43420613629362e-05,1.2010424700003e-05
133150.208,swift,-99,-99,-99,2.42e18,8.80809348585672e-06,2.63068041251198e-06
187274.702,swift,-99,-99,-99,2.42e18,5.15439279683819e-06,1.4598333352389e-06
