band,time_s,mag_ab,mag_err,GCN_number,median_frequency_Hz,observatory,Hours,Days,Date Time,,
L,49032,17.41,0.03,43586,5.56E+14,GOTO,13.6,0.6,1/31/2026 20:16:42,,61073.15126
L,53100,17.59,0.04,43586,5.56E+14,GOTO,14.8,0.6,1/31/2026 21:24:30,t0,61071.27743
r,70710,17.96,0.01,43587,4.80E+14,COLIBRI,19.6,0.8,2/1/2026 2:18:00,,1.87382944
z,70710,17.61,0.01,43587,3.28E+14,COLIBRI,19.6,0.8,2/1/2026 2:18:00,,44.97190656
r,77114,18.08,0.05,43606,4.80E+14,ZTF / Palomar,21.4,0.9,2/1/2026 4:04:44,,161898.8636
r,161899,19.13,0.1,43606,4.80E+14,ZTF / Palomar,45.0,1.9,2/2/2026 3:37:49,,
g,73800,18.21,0.14,43606,6.40E+14,ZTF / Palomar,20.5,0.9,2/1/2026 3:09:30,,
r,73800,18.03,0.2,43606,4.80E+14,ZTF / Palomar,20.5,0.9,2/1/2026 3:09:30,t0,46053.27743
i,73800,17.8,0.48,43606,3.90E+14,ZTF / Palomar,20.5,0.9,2/1/2026 3:09:30,,46054.92679
r,77040,18.08,0.05,43606,4.80E+14,ZTF / Palomar,21.4,0.9,2/1/2026 4:03:30,,143405
R,78970,17.8,0.1,43632,4.70E+14,Mondy / AZT-33IK,21.9,0.9,2/1/2026 4:35:40,,
J,115195,17.71,0.2,43601,2.40E+14,SYSU 80cm,32.0,1.3,2/1/2026 14:39:25,,
J,115818,17.81,0.2,43601,2.40E+14,SYSU 80cm,32.2,1.3,2/1/2026 14:49:48,,
J,116440,17.91,0.2,43601,2.40E+14,SYSU 80cm,32.3,1.3,2/1/2026 15:00:10,,
J,117063,17.81,0.2,43601,2.40E+14,SYSU 80cm,32.5,1.4,2/1/2026 15:10:33,,
r,133554,18.98,0.02,43595,4.80E+14,NOT,37.1,1.5,2/1/2026 19:45:24,,
r,133740,19.09,0.08,43606,4.80E+14,ZTF / Palomar,37.2,1.5,2/1/2026 19:48:30,,
r,142560,19.18,0.03,43606,4.80E+14,ZTF / Palomar,39.6,1.7,2/1/2026 22:15:30,,
r,143405,19.18,0.03,43607,4.80E+14,FTW,39.8,1.7,2/1/2026 22:29:35,,
R,78970,17.98,0.1,43609,4.70E+14,KAIT,21.9,0.9,2/1/2026 4:35:40,,
R,162000,19.38,0.2,43609,4.70E+14,KAIT,45.0,1.9,2/2/2026 3:39:30,,
r,133740,19.09,0.08,43610,4.80E+14,OHP,37.2,1.5,2/1/2026 19:48:30,,
r,158400,19.24,0.02,43599,4.80E+14,COLIBRI,44.0,1.8,2/2/2026 2:39:30,,
r,163440,19.13,0.1,43606,4.80E+14,ZTF / Palomar,45.4,1.9,2/2/2026 4:03:30,,
R,368166,19.56,0.04,43632,4.70E+14,Mondy / AZT-33IK,102.3,4.3,2/4/2026 12:55:36,,
R,381264,19.87,0.07,43632,4.70E+14,Mondy / AZT-33IK,105.9,4.4,2/4/2026 16:33:54,,
R,460254,19.83,0.04,43632,4.70E+14,Mondy / AZT-33IK,127.8,5.3,2/5/2026 14:30:24,,
R,714256,21.7,0.09,43670,4.70E+14,Mondy / AZT-33IK,198.4,8.3,2/8/2026 13:03:46,,
R,718875,21.76,0.03,43708,4.70E+14,DOT,199.7,8.3,2/8/2026 14:20:45,,
