Times,Times_uerr,Times_lerr,Fluxes,Fluxes_uerr,Fluxes_lerr,Gamma,Gamma_uerr,Gamma_lerr,Fluxes_swift,Fluxes_swift_err,beta,sigma_F,Flux_10,Flux_10_err,Flux_1,Flux_1_err
2051.907,56.987,-88.437,2.4274059083914298e-11,5.3667085596437795e-12,-5.3667085596437795e-12,1.65,0.43,0.31,0.000496894891215934,0.000109857607939125,0.6499999999999999,5.3667085596437795e-12,0.0004970366456163359,0.00010988894816744772,0.002220181142945701,0.0004908559010512654
2159.92,54.283,-51.025,1.4138547997933699e-11,3.2142141978237e-12,-3.2142141978237e-12,1.72,0.31,0.22,0.000259931800744418,5.90920994532601e-05,0.72,3.2142141978237e-12,0.0002617979741142795,5.9516349591385006e-05,0.0013739352989345073,0.0003123462427239236
2351.256,83.592,-137.053,1.6369997672192598e-11,3.67729972469285e-12,-3.67729972469285e-12,1.84,0.28,0.2,0.000251936911850478,5.65942375276858e-05,0.8400000000000001,3.67729972469285e-12,0.00025226810192455136,5.6668634921784257e-05,0.0017452688588633965,0.0003920511671858877
2487.048,48.092,-52.201,1.26401274045725e-11,2.78647910503166e-12,-2.78647910503166e-12,1.93,0.33,0.23,0.000168151813518584,3.70685753272723e-05,0.9299999999999999,2.78647910503166e-12,0.0001681229931124839,3.7062221953067584e-05,0.0014309587453447117,0.00031545066884554985
2589.705,43.221,-54.565,1.2654063198934799e-11,2.8025623538730497e-12,-2.8025623538730497e-12,2.03,0.24,0.18,0.000140542881203801,3.11267757853287e-05,1.0299999999999998,2.8025623538730497e-12,0.00014153087957449268,3.134559301390266e-05,0.0015165306975132766,0.00033587408048517734
2680.752,37.423,-47.826,1.43724241299604e-11,3.16835797617019e-12,-3.16835797617019e-12,2.12,0.31,0.23,0.000136822683015452,3.01621518494812e-05,1.12,3.16835797617019e-12,0.00013633978301854721,3.0055697987345523e-05,0.001797308376975183,0.0003962112640383449
2777.448,56.064,-59.273,9.97983548576627e-12,2.25111495077218e-12,-2.25111495077218e-12,2.19,0.24,0.18,8.28890303327628e-05,1.86969750857335e-05,1.19,2.25111495077218e-12,8.2815510480764e-05,1.868039148190065e-05,0.0012826603893632805,0.00028932500774958873
2881.132,45.151,-47.62,1.22442159637368e-11,2.76997393349422e-12,-2.76997393349422e-12,2.26,0.24,0.18,8.83994445103336e-05,1.99983533248838e-05,1.2599999999999998,2.76997393349422e-12,8.844698277178377e-05,2.0009107769713283e-05,0.0016094705049127726,0.0003641059058856693
2990.72,53.407,-64.437,9.98245467166348e-12,2.22122691947239e-12,-2.22122691947239e-12,2.31,0.31,0.23,6.43892677261706e-05,1.43274554708949e-05,1.31,2.22122691947239e-12,6.511483622233618e-05,1.4488903965139368e-05,0.0013294743187608569,0.00029582545002297846
3101.779,57.684,-57.652,1.05195910803151e-11,2.3190125775706e-12,-2.3190125775706e-12,2.25,0.23,0.18,7.70059643659726e-05,1.69757358959331e-05,1.25,2.3190125775706e-12,7.753275416714307e-05,1.7091865141388036e-05,0.0013787490033904,0.0003039411186009234
3215.688,56.606,-56.224,1.0140227380910499e-11,2.30524791719357e-12,-2.30524791719357e-12,2.18,0.2,0.15,8.41250936520804e-05,1.91247384935622e-05,1.1800000000000002,2.30524791719357e-12,8.579617512050207e-05,1.9504636983983804e-05,0.001298577659264387,0.0002952146270377358
3362.898,82.4,-90.605,6.76476702659181e-12,1.5363742533758199e-12,-1.5363742533758199e-12,2.11,0.24,0.18,6.5552419402613e-05,1.48878814334289e-05,1.1099999999999999,1.5363742533758199e-12,6.538380394490729e-05,1.4849586478566159e-05,0.0008423065612001857,0.00019129973123841276
3577.43,103.545,-132.131,8.72624911717315e-12,1.49479173704625e-12,-1.49479173704625e-12,2.08,0.26,0.2,8.90766707422589e-05,1.52586832671414e-05,1.08,1.49479173704625e-12,8.91567019570698e-05,1.5272392479083374e-05,0.0010718993187076975,0.00018361454309120408
7689.536,142.088,-118.671,4.98160519625287e-12,1.10101075656925e-12,-1.10101075656925e-12,2.04,0.21,0.16,5.43420613629362e-05,1.2010424700003e-05,1.04,1.10101075656925e-12,5.472936466603087e-05,1.2096024639372547e-05,0.0006000955504507211,0.0001326302727708273
133150.208,39298.866,-40395.956,6.30488203587691e-13,1.8830555899086e-13,-1.8830555899086e-13,1.9,0.54,0.39,8.80809348585672e-06,2.63068041251198e-06,0.8999999999999999,1.8830555899086e-13,8.815821205721958e-06,2.6329884217668184e-06,7.002655695986008e-05,2.0914570451115083e-05
187274.702,6131.598,-10158.035,3.58196431915793e-13,1.01448824815033e-13,-1.01448824815033e-13,1.88,0.59,0.43,5.15439279683819e-06,1.4598333352389e-06,0.8799999999999999,1.01448824815033e-13,5.175583010890585e-06,1.4658348531817133e-06,3.926081209763621e-05,1.1119494483198435e-05
